Age,Male,Female
18,0.00067,0.00015
19,0.00075,0.00017
20,0.00082,0.00018
21,0.00089,0.00019
22,0.00095,0.0002
23,0.00101,0.00022
24,0.00105,0.00023
25,0.00108,0.00024
26,0.00113,0.00025
27,0.00116,0.00027
28,0.00117,0.00027
29,0.00119,0.00028
30,0.0012,0.0003
31,0.00122,0.00031
32,0.00122,0.00034
33,0.0012,0.00036
34,0.0012,0.00039
35,0.0012,0.00042
36,0.0012,0.00045
37,0.00122,0.00048
38,0.00125,0.00053
39,0.0013,0.00057
40,0.00136,0.00061
41,0.00144,0.00065
42,0.00154,0.00069
43,0.00165,0.00075
44,0.00178,0.0008
45,0.0019,0.00086
46,0.00205,0.00092
47,0.00219,0.00101
48,0.00234,0.00109
49,0.0025,0.00119
50,0.00266,0.00129
51,0.00285,0.00141
52,0.00307,0.00153
53,0.00333,0.00168
54,0.00365,0.00186
55,0.00403,0.00207
56,0.00448,0.00231
57,0.00495,0.00258
58,0.00542,0.00287
59,0.00587,0.00318
60,0.00628,0.0035
61,0.00666,0.00384
62,0.00702,0.00421
63,0.00743,0.00464
64,0.0079,0.00511
65,0.00844,0.00562
66,0.00907,0.00617
67,0.00981,0.00675
68,0.01066,0.00739
69,0.01166,0.00809
70,0.01282,0.00886
71,0.01417,0.00973
72,0.01571,0.01072
73,0.01749,0.01185
74,0.01952,0.01316
75,0.02183,0.01469
76,0.02449,0.01649
77,0.02754,0.01859
78,0.03105,0.02106
79,0.03511,0.02394
80,0.03981,0.02729
81,0.04522,0.03118
82,0.05144,0.03568
83,0.05854,0.04085
84,0.0666,0.04677
85,0.07571,0.05352
86,0.08596,0.06118
87,0.09744,0.06984
88,0.11026,0.07959
89,0.12454,0.09054
90,0.14041,0.1028
91,0.15801,0.1165
92,0.1775,0.13178
93,0.19909,0.14883
94,0.22299,0.16783
95,0.24808,0.18902
96,0.27346,0.21263
97,0.29848,0.23897
98,0.32273,0.26615
99,0.34602,0.29275
100,0.36843,0.31779
101,0.39026,0.34076
102,0.41203,0.36161
103,0.43454,0.38072
104,0.45879,0.39894
105,0.47904,0.41916
106,0.49928,0.43937
107,0.5195,0.45956
108,0.5397,0.47973
109,0.55987,0.50988
110,0.58,0.53
111,0.6,0.55
112,0.62,0.57
113,0.64,0.59
114,0.66,0.61
115,1,1
